Teacher Name,Department + Class,Rating,Comment,Rating ID
James Madison University - Bruce Johnson GENG221,GENG221 English,3,"Johnson is really intelligent and interesting. I really enjoyed this class even though, i'm usually more of a science person. TAKE HIM! He really isn't that bad. The only reason I got a very high B is because I screwed up the midterm b/c of mono. One of the best profs at JMU i've had so far.",UmF0aW5nLTIwMjEyMTIw
James Madison University - Bruce Johnson HON300,HON300 English,5,"Johnson is really cool. I had my doubts about this class but he makes it a lot of fun. Expect lots of class discussions with very few actual lectures. There are three papers, a midterm, a final, and some quizzes spread throughout the semester. The papers aren't that hard and he gives you clear instructions. Would take again.",UmF0aW5nLTI3OTYxMTU0
James Madison University - Bruce Johnson ENG309,ENG309 English,5,"He is the sweetest. He really wants to help you. He teaches at the pace the class can handle which I really appreciated. If we were not ready to be quizzed on a topic, he would wait until he felt like we were ready. You have to do the homework and put in the effort. If you want to do the minimal amount of work, this is not the class for you.",UmF0aW5nLTMwMDQyOTE0
James Madison University - Bruce Johnson ENG321,ENG321 English,5,I LOVE BRUCE! He's a really funny and just nice guy.  Super helpful and always willing to answer questions (even if that means going way off-topic).  I'm definitely going to take him again.  Work load isn't too bad as long as you keep up with the readings for the mini quizzes in class.,UmF0aW5nLTIxMDMyNzk5
James Madison University - Bruce Johnson ENG299,ENG299 English,5,"Johnson is the man! Love his class. His is so nice and super helpful when it comes to giving feedback. He wants you to be successful & states exactly what he expects from you. lets you venture your own path when it comes to the writing assignments (theres 3). There are daily quizzes in this class but if you do the readings, they arent hard at all.",UmF0aW5nLTI3MzEwNjQy
James Madison University - Bruce Johnson HUMANITIES,HUMANITIES English,2,"Ughh, he's got to be THE MOST boring lecturer in the whole humanities series.  I couldn't stand the way he kept repeating his thesis (like a million times) Hello! enough is enough!  We get the message!",UmF0aW5nLTIxNzM3NzY=
James Madison University - Bruce Johnson ENG299,ENG299 English,4,"I really liked Dr. Johnson! He chooses interesting pieces for reading material, and you have discussions in class. There were 3 papers and a midterm and final, and quizzes almost every class. It may sound daunting, but it really isn't once you get into the swing of things! I would definitely take this class again!",UmF0aW5nLTMxODI4Nzkx
James Madison University - Bruce Johnson ENG299,ENG299 English,3,"One of the sweetest professors. I took his 299 class last year and am currently enrolled in his Grammar 309 course this semester. He's not the easiest professor, he expects a lot of self-learning out of his students and quizzes heavily. Although, he is incredibly flexible and willing to help through office hours! Highly recommended! ",UmF0aW5nLTI1MzQxNzIz
James Madison University - Bruce Johnson HUM1A,HUM1A English,4,"Clark talks more about the historical aspect of Huckleberry Finn, Rowlandson, and Crevecour. He's not a bad lecturer but he's not outstanding either.",UmF0aW5nLTExMDk5NTgz
James Madison University - Bruce Johnson ENG299,ENG299 English,5,"Can't say enough good things about him. Interesting reading material, interesting discussion, & he is very knowledgeable but not unapproachable at all. When you turn in final drafts of papers he lets you get peer edits & then change things on the paper you turn in at the last minute, it's very helpful. You will learn a lot & feel motivated by him.",UmF0aW5nLTE2ODQyNDc1
James Madison University - Bruce Johnson ENG309,ENG309 English,5,"Professor Johnson is like if a smile was a person. I'm not a massive fan of grammar, but he made it fun, useful, and easy. I love this man with my entire soul",UmF0aW5nLTMxMTE5NDE5
James Madison University - Bruce Johnson GHUM200,GHUM200 English,5,"This has been my favorite professor so far at JMU. Really nice and cool guy. It does require reading almost every night and small quizzes on the reading that are graded by ur classmates. If you are willing to do the reading, you can come out with an A in this class.",UmF0aW5nLTE1MDEyNTAy
James Madison University - Bruce Johnson HUMCORE,HUMCORE English,5,"His lectures were clear and usually concise.  His use of artwork to explain the themes of the book was at the least helpful, at the least innovative.  An excellent teacher, I only wish he could replace the three weeks of Van Sant.",UmF0aW5nLTEwODYyMjM1
James Madison University - Bruce Johnson ENG310,ENG310 English,5,a great professor who genuinely cares about his students and trusts them. he is a personable guy and respects everyone's opinions. attendance isn't taken but there are quizzes each class. even though I was allowed two skips I didn't take any because I actually wanted to be in class.,UmF0aW5nLTMyMzMzNjcw
James Madison University - Bruce Johnson ENG410,ENG410 English,4,"Bruce is amazing! I took his Eng 299 class and loved it. He makes a lot of quizzes and his answers are pretty specific, so make sure to read. Before a paper is due, go to his office hours. He is really helpful and it will likely boost your grade for the paper. Several opportunities for extra credit. ",UmF0aW5nLTI1MDU3NjAx
James Madison University - Bruce Johnson HUMCORE1B,HUMCORE1B English,3,i don't sleep in class and i could not for the life of me keep my eyes open.,UmF0aW5nLTI2OTM4MTU=
James Madison University - Bruce Johnson GENG221,GENG221 English,3,Very nice man. Most of the class time consisted of discussions about the material read the night before. He will call on random people to participate in the discussions. His tests are hard but the papers were not too bad (you have 3 of them). Lectures can be confusing and hard to follow but otherwise good professor,UmF0aW5nLTIwMDUyMzQ3
James Madison University - Bruce Johnson ENG309,ENG309 English,5,"Johnson is the sweetest! He really cares about his students, whether that means success in his class or outside it. Some people in my class complained that they couldn't follow what he was saying, but they can't expect to vibe well with every professor they meet. Johnson really does his best to make grammar as easy to digest as possible! Take him!!",UmF0aW5nLTMyNDM4MDQx
James Madison University - Bruce Johnson GHUM200,GHUM200 English,4,"Bruce Johnson is the best teacher I have ever had. He really wants you to do well in the class. Go to class every day because there are daily quizzes on the readings assigned. There are 3 papers which are definitely challenging so don't leave them until the last minute. Great class, Johnson is funny and knows what hes talking about.",UmF0aW5nLTE1MjkwOTMy
James Madison University - Bruce Johnson CRIT100B,CRIT100B English,2,"The reading list for the course was interesting and texts were compelling, though he did not inspire, and discussions were often dry when they could have been engaging.  A bit too ivory-towerish.",UmF0aW5nLTIxODk4MDk=
James Madison University - Bruce Johnson ENG309,ENG309 English,3,"He gives at least 1-2 quizzes per class and then you switch quizzes with a partner and grade them. And then, he goes down the attendance list and everyone reads their grade-not good. and this happens-every single class.",UmF0aW5nLTI5Njc4NDg1
