"ID","B64 ID","STATE","CITY","NAME","NUM RATINGS","AVG RATINGS","TYPENAME","URL"
"1","U2Nob29sLTE=","TX","Abilene","Abilene Christian University","151","3.6","School","https://www.ratemyprofessors.com/school?sid=1"
"2","U2Nob29sLTI=","GA","Tifton","Abraham Baldwin Agricultural College","122","3.51","School","https://www.ratemyprofessors.com/school?sid=2"
"3","U2Nob29sLTM=","CA","San Francisco","Academy of Art University","100","3.3","School","https://www.ratemyprofessors.com/school?sid=3"
"4","U2Nob29sLTQ=","PA","Bryn Athyn","Bryn Athyn College","12","3.38","School","https://www.ratemyprofessors.com/school?sid=4"
"5","U2Nob29sLTU=","CO","Alamosa","Adams State University","35","3.35857","School","https://www.ratemyprofessors.com/school?sid=5"
"6","U2Nob29sLTY=","NY","Garden City","Adelphi University","187","3.55209","School","https://www.ratemyprofessors.com/school?sid=6"
"7","U2Nob29sLTc=","GA","Decatur","Agnes Scott College","58","3.48966","School","https://www.ratemyprofessors.com/school?sid=7"
"8","U2Nob29sLTg=","OH","Wright-Patterson AFB","Air Force Institute of Technology","2","3.56","School","https://www.ratemyprofessors.com/school?sid=8"
"9","U2Nob29sLTk=","AL","Montgomery","Air University","2","2.9","School","https://www.ratemyprofessors.com/school?sid=9"
"10","U2Nob29sLTEw","AL","Huntsville","Alabama A&M University","34","3.22868","School","https://www.ratemyprofessors.com/school?sid=10"
"11","U2Nob29sLTEx","","","Alabama State University","78","2.98","School","https://www.ratemyprofessors.com/school?sid=11"
"12","U2Nob29sLTEy","AK","Anchorage","Alaska Pacific University","12","3.4","School","https://www.ratemyprofessors.com/school?sid=12"
"13","U2Nob29sLTEz","NY","Albany","Albany College of Pharmacy and Health Sciences","50","2.66067","School","https://www.ratemyprofessors.com/school?sid=13"
"14","U2Nob29sLTE0","GA","Albany","Albany State University","47","3.39052","School","https://www.ratemyprofessors.com/school?sid=14"
"15","U2Nob29sLTE1","ID","Caldwell","College of Idaho","22","4.22","School","https://www.ratemyprofessors.com/school?sid=15"
"16","U2Nob29sLTE2","CT","New Haven","Albertus Magnus College","15","3.35","School","https://www.ratemyprofessors.com/school?sid=16"
"17","U2Nob29sLTE3","MI","Albion","Albion College","61","3.74","School","https://www.ratemyprofessors.com/school?sid=17"
"18","U2Nob29sLTE4","PA","Reading","Albright College","57","3.22","School","https://www.ratemyprofessors.com/school?sid=18"
"19","U2Nob29sLTE5","MS","Lorman","Alcorn State University","15","3.23524","School","https://www.ratemyprofessors.com/school?sid=19"
"20","U2Nob29sLTIw","WV","Philippi","Alderson Broaddus University","19","2.41","School","https://www.ratemyprofessors.com/school?sid=20"
"21","U2Nob29sLTIx","NY","Alfred","Alfred University","68","3.27","School","https://www.ratemyprofessors.com/school?sid=21"
"22","U2Nob29sLTIy","KY","Pippa Passes","Alice Lloyd College","18","3.38","School","https://www.ratemyprofessors.com/school?sid=22"
"23","U2Nob29sLTIz","PA","Meadville","Allegheny College","109","3.8","School","https://www.ratemyprofessors.com/school?sid=23"
"27","U2Nob29sLTI3","MI","Alma","Alma College","62","3.41","School","https://www.ratemyprofessors.com/school?sid=27"
"28","U2Nob29sLTI4","PA","Reading","Alvernia University","67","3.45","School","https://www.ratemyprofessors.com/school?sid=28"
"29","U2Nob29sLTI5","WI","Milwaukee","Alverno College","58","3.84236","School","https://www.ratemyprofessors.com/school?sid=29"
"31","U2Nob29sLTMx","MA","Springfield","American International College","41","2.57","School","https://www.ratemyprofessors.com/school?sid=31"
"32","U2Nob29sLTMy","","","American University","382","3.94","School","https://www.ratemyprofessors.com/school?sid=32"
"33","U2Nob29sLTMz","MA","Amherst","Amherst College","39","4.16","School","https://www.ratemyprofessors.com/school?sid=33"
"34","U2Nob29sLTM0","SC","Anderson","Anderson University","143","3.42013","School","https://www.ratemyprofessors.com/school?sid=34"
"35","U2Nob29sLTM1","IN","Anderson","Anderson University","75","3.47","School","https://www.ratemyprofessors.com/school?sid=35"
"36","U2Nob29sLTM2","MI","Berrien Springs","Andrews University","45","3.68","School","https://www.ratemyprofessors.com/school?sid=36"
